id,sensor1_raw,sensor1_voltage,sensor2_raw,sensor2_voltage,device_timestamp,server_timestamp
1750602040_6704,515,0.415,3240,2.61,281840,"2025-06-22 14:20:40"
1750602045_7943,534,0.43,3251,2.619,287067,"2025-06-22 14:20:45"
1750602051_4797,579,0.466,3227,2.6,292293,"2025-06-22 14:20:51"
1750602056_3020,611,0.492,3246,2.615,297520,"2025-06-22 14:20:56"
1750602061_8570,596,0.48,3217,2.592,302746,"2025-06-22 14:21:01"
1750602066_8100,699,0.563,3324,2.678,307972,"2025-06-22 14:21:06"
1750602072_9675,889,0.716,3524,2.839,313199,"2025-06-22 14:21:12"
1750602077_2615,678,0.546,3312,2.668,318426,"2025-06-22 14:21:17"
1750602082_8505,663,0.534,3297,2.656,323752,"2025-06-22 14:21:22"
1750602087_4149,647,0.521,3275,2.639,328979,"2025-06-22 14:21:27"
1750602093_4005,649,0.523,3277,2.64,334205,"2025-06-22 14:21:33"
1750602098_3481,621,0.5,3256,2.623,339431,"2025-06-22 14:21:38"
1750602103_5231,627,0.505,3260,2.626,344658,"2025-06-22 14:21:43"
1750602108_4929,642,0.517,3277,2.64,349884,"2025-06-22 14:21:48"
1750602113_4139,647,0.521,3268,2.633,355111,"2025-06-22 14:21:53"
1750602119_1708,652,0.525,3279,2.642,360337,"2025-06-22 14:21:59"
1750602124_7263,685,0.552,3323,2.677,365564,"2025-06-22 14:22:04"
1750602129_2718,685,0.552,3325,2.679,370790,"2025-06-22 14:22:09"
1750602134_4127,704,0.567,3343,2.693,376017,"2025-06-22 14:22:14"
1750602140_6830,739,0.595,3370,2.715,381243,"2025-06-22 14:22:20"
1750602145_4577,755,0.608,3397,2.737,386470,"2025-06-22 14:22:25"
1750602150_8320,710,0.572,3348,2.697,391696,"2025-06-22 14:22:30"
1750602155_4380,743,0.599,3375,2.719,396923,"2025-06-22 14:22:35"
1750602161_5966,760,0.612,3393,2.734,402149,"2025-06-22 14:22:41"
1750602166_7266,849,0.684,3484,2.807,407376,"2025-06-22 14:22:46"
1750602171_6279,926,0.746,3574,2.879,412602,"2025-06-22 14:22:51"
1750602176_3894,907,0.731,3539,2.851,417828,"2025-06-22 14:22:56"
1750602181_1563,794,0.64,3433,2.766,423055,"2025-06-22 14:23:01"
1750602187_9851,790,0.636,3418,2.754,428281,"2025-06-22 14:23:07"
1750602192_5665,811,0.653,3442,2.773,433508,"2025-06-22 14:23:12"
1750602197_4242,821,0.661,3434,2.767,438734,"2025-06-22 14:23:17"
1750602202_9586,832,0.67,3482,2.805,443961,"2025-06-22 14:23:22"
1750602208_9562,858,0.691,3494,2.815,449187,"2025-06-22 14:23:28"
1750602213_7011,886,0.714,3516,2.833,454414,"2025-06-22 14:23:33"
1750602218_5161,846,0.682,3482,2.805,459640,"2025-06-22 14:23:38"
1750602223_5365,882,0.711,3526,2.841,464867,"2025-06-22 14:23:43"
1750602228_2095,904,0.728,3541,2.853,470093,"2025-06-22 14:23:48"
1750602234_3640,889,0.716,3529,2.843,475320,"2025-06-22 14:23:54"
1750602239_4638,906,0.73,3548,2.858,480546,"2025-06-22 14:23:59"
1750602244_9975,925,0.745,3584,2.888,485773,"2025-06-22 14:24:04"
1750602249_2576,903,0.728,3572,2.878,490999,"2025-06-22 14:24:09"
1750602255_5082,894,0.72,3524,2.839,496226,"2025-06-22 14:24:15"
1750602260_2759,923,0.744,3560,2.868,501452,"2025-06-22 14:24:20"
1750602265_8328,1109,0.893,3747,3.019,506678,"2025-06-22 14:24:25"
1750602270_6247,1033,0.832,3666,2.954,511905,"2025-06-22 14:24:30"
1750602276_9481,1039,0.837,3669,2.956,517132,"2025-06-22 14:24:36"
1750602281_5419,1058,0.852,3697,2.979,522358,"2025-06-22 14:24:41"
1750602286_6891,1087,0.876,3729,3.004,527585,"2025-06-22 14:24:46"
1750602291_6350,937,0.755,3577,2.882,532812,"2025-06-22 14:24:51"
1750602296_4903,934,0.752,3570,2.876,538038,"2025-06-22 14:24:56"
1750602302_2151,930,0.749,3566,2.873,543265,"2025-06-22 14:25:02"
1750602307_9740,956,0.77,3598,2.899,548491,"2025-06-22 14:25:07"
1750602312_2496,854,0.688,3490,2.812,553718,"2025-06-22 14:25:12"
1750602317_1041,837,0.674,3473,2.798,558944,"2025-06-22 14:25:17"
1750602323_4122,879,0.708,3489,2.811,564171,"2025-06-22 14:25:23"
1750602328_9309,863,0.695,3501,2.821,569397,"2025-06-22 14:25:28"
1750602333_9973,875,0.705,3521,2.837,574623,"2025-06-22 14:25:33"
1750602338_9229,852,0.686,3510,2.828,579850,"2025-06-22 14:25:38"
1750602344_9688,863,0.695,3535,2.848,585077,"2025-06-22 14:25:44"
1750602349_8330,1125,0.906,3772,3.039,590333,"2025-06-22 14:25:49"
1750602354_8661,838,0.675,3488,2.81,595560,"2025-06-22 14:25:54"
